model,query_id,is_baseline,coverage_score,precision,recall,f1_score,semantic_accuracy,factual_correctness,response_coherence,depth_score,reasoning_quality,domain_knowledge_score,biobank_specificity,vs_random_baseline,vs_frequency_baseline,vs_keyword_baseline,vs_template_baseline,baseline_improvement,response_length,confidence_indicators,uncertainty_markers,specific_examples,error_count,error_types
ChatGPT_4o,keywords_real,False,0.3077,0.0968,0.4615,0.16,0.5193,0.3077,0.6,0.4667,0.4,0.48,0.5,-0.1711,-0.1561,0.0191,-0.2412,-0.1373,119,0,1,2,0,
ChatGPT_4o,institutions_real,False,0.3333,0.0612,0.3333,0.1034,0.5438,0.3333,0.6,0.2222,0.07,0.48,0.3333,-0.1226,-0.1765,0.419,-0.077,0.0107,109,0,0,4,0,
ChatGPT_4o,authors_real,False,0.9,0.0783,0.9,0.144,0.5812,0.9,0.6488,0.2778,0.32,0.6,0.6667,0.1893,-0.1277,0.1914,-0.202,0.0127,503,0,0,4,1,excessive_length
ChatGPT_4o,citations_real,False,0.3,0.0851,0.8,0.1538,0.5313,0.3,0.7429,0.5333,0.4,0.56,0.3333,0.1898,-0.1887,-0.0929,-0.0596,-0.0378,206,1,1,4,0,
ChatGPT_o1_pro,keywords_real,False,0.6154,0.034,0.6154,0.0645,0.5406,0.6154,0.6571,0.8667,0.7,0.92,1.0,-0.1498,-0.1348,0.0403,-0.2199,-0.1161,725,0,0,6,1,excessive_length
ChatGPT_o1_pro,institutions_real,False,0.8889,0.0323,1.0,0.0625,0.6829,0.8889,0.6417,0.4889,0.28,0.84,0.5,0.0165,-0.0374,0.5581,0.0622,0.1498,842,0,3,7,2,excessive_length; excessive_vagueness
ChatGPT_o1_pro,authors_real,False,0.9,0.0296,0.9,0.0573,0.6219,0.9,0.6,0.7222,0.56,0.84,0.8333,0.23,-0.087,0.232,-0.1613,0.0534,934,0,3,7,1,excessive_length
ChatGPT_o1_pro,citations_real,False,0.7,0.0268,0.8,0.0519,0.5222,0.7,0.6,1.0,0.8,0.76,1.0,0.1808,-0.1978,-0.102,-0.0687,-0.0469,878,1,0,6,1,excessive_length
Claude_Sonnet,keywords_real,False,0.4615,0.0674,0.4615,0.1176,0.5589,0.4615,0.9333,0.4,0.5,0.76,1.0,-0.1316,-0.1165,0.0586,-0.2017,-0.0978,178,0,0,3,0,
Claude_Sonnet,institutions_real,False,0.3333,0.0484,0.3333,0.0845,0.6301,0.3333,0.8857,0.3111,0.21,0.48,0.3333,-0.0363,-0.0902,0.5054,0.0094,0.0971,178,0,2,3,0,
