Model,Task,SemanticAccuracy,FactualCorrectness,DomainKnowledge,ReasoningQuality,ResponseDepth,BiobankSpecificity
Claude Opus 4.5,keywords,0.4322,0.6,1.0,0.58,0.4833,0.375
Claude Sonnet 4.5,keywords,0.4174,0.55,0.9333,0.4,0.4,0.5
GPT-5.2,keywords,0.3638,0.5,0.3333,0.36,0.4,0.25
Gemini 3 Pro,keywords,0.4427,0.55,0.7333,0.53,0.4,0.25
Mistral Large 2,keywords,0.4863,0.65,1.0,0.39,0.5,0.625
DeepSeek V3,keywords,0.4689,0.6,0.8667,0.55,0.625,0.625
Claude Opus 4.5,papers,0.467,0.0,0.4,0.45,0.4833,0.25
Claude Sonnet 4.5,papers,0.4067,0.0,0.5333,0.34,0.4625,0.375
GPT-5.2,papers,0.4765,0.0,0.6667,0.34,0.4,0.25
Gemini 3 Pro,papers,0.4808,0.0,0.6,0.43,0.5,0.375
Mistral Large 2,papers,0.6224,0.0,1.0,0.2967,0.625,0.75
DeepSeek V3,papers,0.4884,0.1,0.4667,0.53,0.5625,0.875
Claude Opus 4.5,authors,0.2227,0.4,0.2667,0.49,0.5833,0.25
Claude Sonnet 4.5,authors,0.0,0.035,0.0667,0.49,0.4,0.25
GPT-5.2,authors,0.3021,0.07,0.0,0.49,0.3,0.25
Gemini 3 Pro,authors,0.3861,0.32,0.6,0.63,0.5,0.5
Mistral Large 2,authors,0.2912,0.185,0.4,0.35,0.5,0.375
DeepSeek V3,authors,0.3634,0.185,0.4,0.62,0.5625,0.25
Claude Opus 4.5,institutions,0.5066,0.85,0.0667,0.45,0.4833,0.375
Claude Sonnet 4.5,institutions,0.3863,0.65,0.0,0.25,0.2,0.375
GPT-5.2,institutions,0.3512,0.0,0.0,0.24,0.15,0.375
Gemini 3 Pro,institutions,0.5764,0.5,0.0,0.49,0.5625,0.5
Mistral Large 2,institutions,0.6127,0.8,0.7333,0.22,0.5,0.875
DeepSeek V3,institutions,0.5514,0.8,0.3333,0.6067,0.5,0.5
