model,metric,mean,ci_lower,ci_upper,std,n,median,min,max
ChatGPT_4o,semantic_accuracy,0.072576,0.022255876595952052,0.12289612340404796,0.03162354904181376,4,0.076586,0.03125,0.105882
ChatGPT_4o,reasoning_quality,0.40833325,0.010527550240674866,0.8061389497593251,0.24999994444449378,4,0.3666665,0.2,0.7
ChatGPT_4o,domain_knowledge_score,0.47095975,-0.21484217387454807,1.156761673874548,0.43099041308933617,4,0.4419195,0.0,1.0
ChatGPT_4o,factual_correctness,0.46025625,-0.006781518617222593,0.9272940186172225,0.2935086558046457,4,0.3205125,0.3,0.9
ChatGPT_4o,depth_score,0.375,0.13850938304526214,0.6114906169547378,0.14862190545811205,4,0.3722225,0.222222,0.533333
ChatGPT_4o,biobank_specificity,0.45833325,0.20441937870176008,0.71224712129824,0.1595715037684256,4,0.4166665,0.333333,0.666667
GPT_o1,semantic_accuracy,0.058820250000000004,0.04282603095727695,0.07481446904272306,0.010051524838716432,4,0.059917,0.047546,0.067901
GPT_o1,reasoning_quality,0.75,0.1475726372286652,1.3524273627713348,0.37859388972001823,4,0.9,0.2,1.0
GPT_o1,domain_knowledge_score,0.95833325,0.8257310554092969,1.0909354445907031,0.0833335,4,1.0,0.833333,1.0
GPT_o1,factual_correctness,0.8538462499999999,0.5899956940746476,1.1176968059253523,0.1658161870553757,4,0.9,0.615385,1.0
GPT_o1,depth_score,0.6194445,0.354682963481907,0.8842060365180929,0.1663886904099354,4,0.638889,0.4,0.8
GPT_o1,biobank_specificity,0.83333325,0.45827835612847695,1.2083881438715232,0.23570226039557476,4,0.9166665,0.5,1.0
GPT_o1_Pro,semantic_accuracy,0.053297,0.03534178065422053,0.07125221934577947,0.011283910315134555,4,0.05302,0.039813,0.067335
GPT_o1_Pro,reasoning_quality,0.8416665,0.491503405610658,1.191829594389342,0.22005907456029472,4,0.9166665,0.533333,1.0
GPT_o1_Pro,domain_knowledge_score,1.0,1.0,1.0,0.0,4,1.0,1.0,1.0
GPT_o1_Pro,factual_correctness,0.7760685,0.55161184998894,1.0005251500110601,0.14105919062223493,4,0.7944445,0.615385,0.9
GPT_o1_Pro,depth_score,0.7694445,0.4213708382906525,1.1175181617093475,0.21874597609479968,4,0.7944445,0.488889,1.0
GPT_o1_Pro,biobank_specificity,0.83333325,0.45827835612847695,1.2083881438715232,0.23570226039557476,4,0.9166665,0.5,1.0
Claude_3_5_Sonnet,semantic_accuracy,0.09195425,0.021863890644903003,0.162044609355097,0.04404810176292126,4,0.0855535,0.053191,0.143519
Claude_3_5_Sonnet,reasoning_quality,0.575,0.3210868211924492,0.8289131788075508,0.1595710685744756,4,0.6166665,0.366667,0.7
Claude_3_5_Sonnet,domain_knowledge_score,0.888889,0.5352842085735603,1.2424937914264398,0.22222199999999998,4,1.0,0.555556,1.0
Claude_3_5_Sonnet,factual_correctness,0.24871775000000002,-0.01651730181801142,0.5139528018180115,0.16668626985322857,4,0.21666649999999998,0.1,0.461538
Claude_3_5_Sonnet,depth_score,0.3305555,0.2484169052204796,0.4126940947795204,0.05161978358794878,4,0.322222,0.277778,0.4
Claude_3_5_Sonnet,biobank_specificity,0.5416665,0.039643464191537414,1.0436895358084626,0.31549505484185747,4,0.4166665,0.333333,1.0
Gemini_2_0_Flash,semantic_accuracy,0.1046985,0.04481524889426585,0.16458175110573414,0.037633471462693066,4,0.096636,0.072581,0.152941
Gemini_2_0_Flash,reasoning_quality,0.54583325,0.09505166711212337,0.9966148328878768,0.28329249869157613,4,0.44999999999999996,0.333333,0.95
Gemini_2_0_Flash,domain_knowledge_score,0.81986525,0.3381823763517415,1.3015481236482584,0.3027123334954326,4,0.9545455,0.37037,1.0
Gemini_2_0_Flash,factual_correctness,0.7903845,0.41813044173364655,1.1626385582663534,0.23394208263514,4,0.8500000000000001,0.461538,1.0
Gemini_2_0_Flash,depth_score,0.37500025000000003,0.12816188079707672,0.6218386192029234,0.15512492310903275,4,0.31666700000000003,0.266667,0.6
Gemini_2_0_Flash,biobank_specificity,0.6041665,0.23900922749599013,0.96932377250401,0.2294821263112518,4,0.625,0.333333,0.833333
Mistral_Large_2,semantic_accuracy,0.080582,0.03681932494503655,0.12434467505496345,0.027502537895013737,4,0.08157,0.048077,0.111111
Mistral_Large_2,reasoning_quality,0.30833325,0.08174300477610513,0.5349234952238948,0.14240004291519717,4,0.26666650000000003,0.2,0.5
Mistral_Large_2,domain_knowledge_score,0.42929325000000007,-0.027680715102849918,0.8862672151028501,0.2871840849877479,4,0.555556,0.0,0.606061
Mistral_Large_2,factual_correctness,0.46794875,0.272744116002524,0.663153383997476,0.12267583818985436,4,0.469231,0.333333,0.6
Mistral_Large_2,depth_score,0.3777775,0.21192206088771368,0.5436329391122863,0.10423141395152101,4,0.333333,0.311111,0.533333
Mistral_Large_2,biobank_specificity,0.37499974999999997,0.2423975554092969,0.5076019445907031,0.0833335,4,0.333333,0.333333,0.5
Llama_3_1_405B,semantic_accuracy,0.08687824999999999,0.03528082610676433,0.13847567389323565,0.03242626517064009,4,0.090627,0.048077,0.118182
Llama_3_1_405B,reasoning_quality,0.20833325,-0.18947244975932517,0.6061389497593251,0.2499999444444938,4,0.1666665,0.0,0.5
Llama_3_1_405B,domain_knowledge_score,0.54040425,-0.11426073860914532,1.1950692386091455,0.41142248811683835,4,0.5808085000000001,0.0,1.0
Llama_3_1_405B,factual_correctness,0.58183775,0.24313475951357122,0.9205407404864289,0.2128570024411929,4,0.519231,0.4,0.888889
Llama_3_1_405B,depth_score,0.39444424999999994,0.07505565271560538,0.7138328472843944,0.2007189228953015,4,0.3777775,0.222222,0.6
Llama_3_1_405B,biobank_specificity,0.54166675,0.40906455540929687,0.6742689445907031,0.0833335,4,0.5,0.5,0.666667
DeepSeek_DeepThink_R1,semantic_accuracy,0.07695275,0.03297686441688217,0.12092863558311784,0.027636529489970335,4,0.07111,0.050459,0.115132
DeepSeek_DeepThink_R1,reasoning_quality,0.48333324999999994,0.021949373971463848,0.9447171260285361,0.28995548189607195,4,0.43333299999999997,0.2,0.866667
DeepSeek_DeepThink_R1,domain_knowledge_score,0.74410775,0.24963361002676632,1.2385818899732337,0.3107509711332372,4,0.8030305,0.37037,1.0
DeepSeek_DeepThink_R1,factual_correctness,0.59529925,0.17019994892439655,1.0203985510756033,0.2671525363175814,4,0.6961539999999999,0.2,0.788889
DeepSeek_DeepThink_R1,depth_score,0.39444425000000005,0.011009589287427846,0.7778789107125723,0.2409685027998127,4,0.311111,0.222222,0.733333
DeepSeek_DeepThink_R1,biobank_specificity,0.45833325,0.3257310554092969,0.5909354445907031,0.0833335,4,0.5,0.333333,0.5
