model,query_id,is_baseline,coverage_score,precision,recall,f1_score,semantic_accuracy,response_depth,reasoning_quality,biobank_specificity,technical_accuracy,logical_consistency,error_count,hallucination_count,missing_critical_concepts,statistical_significance,effect_size
ChatGPT_4o,keywords_original,False,0.6363636363636364,0.9795918367346939,4.363636363636363,1.6,0.44084656119346616,0.24000000000000005,1.0,0.48,1.0,1.0,0,0,0,0.01,7.5
ChatGPT_o1,keywords_original,False,0.5454545454545454,0.9937106918238994,14.363636363636363,1.8588235294117648,0.45115112763258713,0.35333333333333333,1.0,0.8,1.0,1.0,0,0,0,0.01,8.794117647058822
ChatGPT_o1_pro,keywords_original,False,0.5454545454545454,1.0,15.818181818181818,1.881081081081081,0.4803073459658129,0.39333333333333337,1.0,0.8,1.0,1.0,0,0,0,0.01,8.905405405405403
Claude_Sonnet,keywords_original,False,0.6363636363636364,0.9857142857142858,6.2727272727272725,1.7037037037037037,0.5047885219256083,0.24,1.0,0.8,1.0,1.0,0,0,0,0.01,8.018518518518517
Gemini,keywords_original,False,0.6363636363636364,1.0,4.7272727272727275,1.6507936507936507,0.4277136589090029,0.12,1.0,0.8,1.0,1.0,0,0,0,0.01,7.753968253968253
Mistral_Large_2,keywords_original,False,0.6363636363636364,1.0,8.909090909090908,1.7981651376146788,0.37071040603849625,0.24,1.0,0.48,1.0,1.0,0,0,0,0.01,8.490825688073393
Meta_Llama_3_1_405B,keywords_original,False,0.6363636363636364,1.0,5.454545454545454,1.6901408450704225,0.42297708478111484,0.28,1.0,0.48,1.0,1.0,0,0,0,0.01,7.950704225352112
DeepThink_R1,keywords_original,False,0.5454545454545454,0.991869918699187,11.090909090909092,1.8208955223880596,0.40682245625389946,0.36,1.0,0.8,1.0,1.0,0,0,0,0.01,8.604477611940297
Random_Selection,keywords_original,True,0.6363636363636364,1.0,0.6363636363636364,0.7777777777777778,0.6631260514259338,0.04,1.0,0.32000000000000006,1.0,1.0,1,0,0,0.01,3.388888888888889
Random_Selection,hypothesis_generation_1,True,0.5714285714285714,1.0,0.14285714285714285,0.25,0.43688668012619014,0.04,0.0,0.36000000000000004,0.125,1.0,1,0,3,0.1,0.7499999999999999
